URL;Title;Type;Description;Short Description;Visibility;Show when out of stock;Width;Height;Depth;Diameter;SEO Title;SEO Keywords;SEO Description;Notes;Image 1;Image 1 Alt Text;Image 2;Image 2 Alt Text;Image 3;Image 3 Alt Text;Categories;Vendor;Collections;Tags;Variant Image;Variant Image Alt Text;Variant UUID;Variant SKU;Variant Barcode;Variant Quantity;Track inventory;Variant Buy if empty;Variant Purchase Price;Variant Promotion Price;Variant Regular Price;Variant Weight;Tax;Variant Property Name 1;Variant Property Value 1;Variant Property Hex 1;Variant Property Name 2;Variant Property Value 2;Variant Property Hex 2;Variant Property Name 3;Variant Property Value 3;Image 4;Image 4 Alt Text;Image 5;Image 5 Alt Text;Image 6;Image 6 Alt Text;Image 7;Image 7 Alt Text;Image 8;Image 8 Alt Text;Variant Property Hex 3;;;
top-na-cienkich-ramiaczkach-z-wloskiej-satyny;Satynowy top na ramiączkach;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abae/3148-202408-2.jpg;satynowy top na ramiączkach;cceaea4d-5128-4f95-aea1-f32e59989fe5;202403-3;202403;0;1;1;0;250;250;0;23.00;Kolor;zielony;#5BC154;Rozmiar;L;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
top-na-cienkich-ramiaczkach-z-wloskiej-satyny;Satynowy top na ramiączkach;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abae/3148-202408-2.jpg;satynowy top na ramiączkach;a625153e-b42f-49e1-ac98-feddc39f0eac;202403-4;202403;1;1;1;0;250;250;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XL;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
top-na-cienkich-ramiaczkach-z-wloskiej-satyny;Satynowy top na ramiączkach;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abae/3148-202408-2.jpg;satynowy top na ramiączkach;89aab7fb-4f5f-4018-801d-b4676753f235;202403-5;202403;0;1;1;0;250;250;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XXL;#a97d70;Materiał;satyna;;;;;;;;;;;;;;
satynowy-komplet-z-szerokimi-spodniami;Satynowy komplet z szerokimi spodniami;physical;"<p>Elegancki komplet nocny z włoskiej satyny. Top ozdobiony jest przy dekolcie koronką w dopasowanym kolorze. Cienkie regulowane ramiączka łączą się z tyłu tworząc linię pleców w stylu oryginalnej bokserki. Szerokie spodnie wykonano z miękkiej satyny, która fantastycznie układa się na sylwetce. Fason współgra idealnie z pięknym letnim drukiem w zielone, egzotyczne liście. W pasie szeroki tunel z gumką i ozdobnym marszczeniem. Kieszenie wpuszczane w szwy sprawiają, że spodnie sprawdzą się doskonale również w dziennej czy wieczorowej letniej stylizacji.</p>
<p>Długość w rozmiarze M: top – 63 cm, spodnie – 103 cm</p>
<p>Dostępne kolory:  palmowe liście w stonowanej zieleni na jasnym waniliowym tle (Palmera)</p>
<p>Skład: 100% satyna</p>
<p>Indeks: 202402</p>";;1;1;;;;;Satynowy komplet z szerokimi spodniami;satynowy;komplet;top;spodnie;palmera;Satynowy komplet z szerokimi spodniami;;https://cdn.shoplo.com/0380/products/orig/abag/3152-202402.jpg;202402;https://cdn.shoplo.com/0380/products/orig/abag/3154-202402-1.jpg;202402;https://cdn.shoplo.com/0380/products/orig/abag/3156-202404-1.jpg;202404_1;"Nowości;Homewear;Produkty > Piżamy;Produkty;Produkty > Komplety;Produkty > Spodnie";COEMI;Wiosna Lato 2020;satynowy;komplet;top;spodnie;palmera;piżama2020;maj2020;https://cdn.shoplo.com/0380/products/orig/abag/3152-202402.jpg;202402;48dbf96d-5d5e-4d7c-8091-4a557a611f70;202402;202402;0;1;1;0;549;549;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XS;#fce5ef;Materiał;satyna;https://cdn.shoplo.com/0380/products/orig/abag/3158-202408-3.jpg;202408;https://cdn.shoplo.com/0380/products/orig/abag/3160-202408-1-2.jpg;202408_1
satynowy-komplet-z-szerokimi-spodniami;Satynowy komplet z szerokimi spodniami;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abag/3152-202402.jpg;202402;a627a8c7-1d9c-4b9b-aebb-d01d6e989fd2;202402-1;202402;3;1;1;0;549;549;0;23.00;Kolor;zielony;#5BC154;Rozmiar;S;#000000;Materiał;satyna;;;;;;;;;;;;;;
satynowy-komplet-z-szerokimi-spodniami;Satynowy komplet z szerokimi spodniami;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abag/3152-202402.jpg;202402;9c76521f-5068-41af-b378-4acc9ca10be5;202402-2;202402;4;1;1;0;549;549;0;23.00;Kolor;zielony;#5BC154;Rozmiar;M;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
satynowy-komplet-z-szerokimi-spodniami;Satynowy komplet z szerokimi spodniami;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abag/3152-202402.jpg;202402;990eeb13-3934-419b-9be4-9527b6a25a26;202402-3;202402;4;1;1;0;549;549;0;23.00;Kolor;zielony;#5BC154;Rozmiar;L;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
satynowy-komplet-z-szerokimi-spodniami;Satynowy komplet z szerokimi spodniami;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abag/3152-202402.jpg;202402;431ee416-b5a1-4a71-bc89-4f9dfb893d71;202402-4;202402;2;1;1;0;549;549;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XL;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
satynowy-komplet-z-szerokimi-spodniami;Satynowy komplet z szerokimi spodniami;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abag/3152-202402.jpg;202402;e29697db-3b21-40c1-a0b2-5995c2dc3342;202402-5;202402;1;1;1;0;549;549;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XXL;#a97d70;Materiał;satyna;;;;;;;;;;;;;;
szerokie-satynowe-spodnie;Szerokie satynowe spodnie;physical;"<p>Fantastyczne satynowe spodnie o swobodnym szerokim kroju. Fason doskonale podkreśla druk w duże, stonowane zielone liście. W pasie szeroki tunel z gumką i ozdobne marszczenie. Kieszenie wpuszczane w szwy. Spodnie idealnie sprawdzą się nie tylko jako dół od nocnego kompletu, ale także na co dzień, w letnich wakacyjnych stylizacjach. Spodnie można też kupić w komplecie z satynowym topem na cienkich ramiączkach w tych samych kolorach. <br>
<br>
</p>
<p>Długość w rozmiarze M: 103 cm</p>
<p>Dostępne kolory:  palmowe liście w stonowanej zieleni na jasnym waniliowym tle (Palmera)</p>
<p>Skład: 100% satyna</p>
<p>Indeks: 20240<br></p>";;1;1;;;;;Szerokie satynowe spodnie;satynowe;spodnie;palmera;Szerokie satynowe spodnie;;https://cdn.shoplo.com/0380/products/orig/abai/3162-202404.jpg;Szerokie satynowe spodnie;https://cdn.shoplo.com/0380/products/orig/abai/3164-202404-1-1.jpg;Szerokie satynowe spodnie;;;"Nowości;Homewear;Produkty > Piżamy;Produkty;Produkty > Spodnie";COEMI;Wiosna Lato 2020;satynowe;spodnie;palmera;maj2020;https://cdn.shoplo.com/0380/products/orig/abai/3162-202404.jpg;Szerokie satynowe spodnie;14de37c9-2921-458d-96ae-193c5cb54f42;202404;202404;0;1;1;0;299;299;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XS;#fce5ef;Materiał;satyna;;;;;;;;;
szerokie-satynowe-spodnie;Szerokie satynowe spodnie;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abai/3162-202404.jpg;Szerokie satynowe spodnie;27e17d14-78c2-4276-a35b-00a8bf79cb70;202404-1;202404;0;1;1;0;299;299;0;23.00;Kolor;zielony;#5BC154;Rozmiar;S;#000000;Materiał;satyna;;;;;;;;;;;;;;
